id_transaksi	tanggal_transaksi	id_produk	nama_produk	harga	jumlah	total_harga	id_pelanggan	nama_pelanggan	alamat	no_telepon	tanggal_keuangan	pemasukan	keterangan
57	2025-11-23	1	Laptop Lenovo	8500000.00	5	42500000.00	761	Rini Pratama	Jl. Ciumbuleuit No. 74\nTangerang Selatan, KI 48363	0852038385	2025-11-23	42500000.00	Store Sale
63	2026-05-13	1	Laptop Lenovo	8500000.00	1	8500000.00	1986	dr. Kambali Waskita, M.Pd	Gg. S. Parman No. 0\nSolok, MU 69709	+62-811-402-8937	2026-05-13	8500000.00	Store Sale
68	2026-04-02	1	Laptop Lenovo	8500000.00	7	59500000.00	1606	Gara Kuswoyo, S.IP	Jl. W.R. Supratman No. 0\nBlitar, KS 48801	(004) 543 9687	2026-04-02	59500000.00	Product Sale
69	2026-02-02	1	Laptop Lenovo	8500000.00	3	25500000.00	329	Vivi Sihombing	Jl. Kapten Muslihat No. 8\nSingkawang, Sumatera Utara 37383	+62 (0869) 190 0279	2026-02-02	25500000.00	Store Sale
73	2026-05-18	1	Laptop Lenovo	8500000.00	4	34000000.00	1775	Safina Lazuardi	Jl. Cihampelas No. 28\nMetro, GO 69647	(0620) 067-2200	2026-05-18	34000000.00	Product Sale
82	2026-01-08	1	Laptop Lenovo	8500000.00	7	59500000.00	762	R. Leo Novitasari	Gang Surapati No. 96\nBau-Bau, GO 84667	+62 (005) 520 1608	2026-01-08	59500000.00	Customer Purchase
88	2025-08-28	1	Laptop Lenovo	8500000.00	2	17000000.00	1951	H. Mursinin Mansur	Gg. Rawamangun No. 03\nBukittinggi, Kalimantan Tengah 36830	+62 (0338) 117 8887	2025-08-28	17000000.00	Customer Purchase
89	2026-01-31	1	Laptop Lenovo	8500000.00	1	8500000.00	357	Ir. Ganjaran Manullang	Gang Laswi No. 65\nBau-Bau, Kalimantan Timur 19118	(055) 499 2418	2026-01-31	8500000.00	Online Transaction
98	2025-09-24	1	Laptop Lenovo	8500000.00	2	17000000.00	400	Rahman Pratiwi	Gang Pasir Koja No. 612\nSerang, Sulawesi Utara 54344	+62-383-112-6121	2025-09-24	17000000.00	Product Sale
99	2026-02-23	1	Laptop Lenovo	8500000.00	2	17000000.00	1655	Puti Yessi Kusmawati	Gang Cihampelas No. 24\nPagaralam, Riau 94722	+62 (0095) 190-4671	2026-02-23	17000000.00	Store Sale
104	2025-10-05	1	Laptop Lenovo	8500000.00	9	76500000.00	1062	T. Prayogo Budiman	Gang Kebonjati No. 59\nKota Administrasi Jakarta Selatan, Sumatera Barat 59350	+62-0484-548-5874	2025-10-05	76500000.00	Customer Purchase
106	2025-11-12	1	Laptop Lenovo	8500000.00	7	59500000.00	1011	Dr. Cakrawangsa Rahmawati, M.Pd	Gang Cempaka No. 506\nTangerang, BA 77055	(042) 699 0917	2025-11-12	59500000.00	Customer Purchase
117	2025-09-23	1	Laptop Lenovo	8500000.00	3	25500000.00	12	Bakti Susanti	Gg. Lembong No. 1\nPayakumbuh, Sulawesi Utara 63352	(098) 372 3898	2025-09-23	25500000.00	Store Sale
126	2025-08-03	1	Laptop Lenovo	8500000.00	5	42500000.00	202	Dr. Tina Ramadan, S.Pt	Jalan Gardujati No. 03\nProbolinggo, Sulawesi Selatan 01692	+62-93-455-3843	2025-08-03	42500000.00	Store Sale
130	2026-04-18	1	Laptop Lenovo	8500000.00	6	51000000.00	319	Zelda Sinaga	Jl. Kutai No. 2\nBanjarbaru, SB 71187	0884302852	2026-04-18	51000000.00	Store Sale
143	2026-04-04	1	Laptop Lenovo	8500000.00	3	25500000.00	655	Puti Yessi Kusmawati	Gang Cihampelas No. 24\nPagaralam, Riau 94722	+62 (0095) 190-4671	2026-04-04	25500000.00	Online Transaction
144	2025-12-22	1	Laptop Lenovo	8500000.00	2	17000000.00	1094	Ratna Kurniawan	Jalan Asia Afrika No. 0\nPontianak, Kalimantan Selatan 54908	+62 (77) 229 8564	2025-12-22	17000000.00	Customer Purchase
151	2025-11-26	1	Laptop Lenovo	8500000.00	10	85000000.00	1190	Samiah Siregar	Gg. Moch. Ramdan No. 1\nBalikpapan, JA 25291	0880029248	2025-11-26	85000000.00	Product Sale
158	2026-06-28	1	Laptop Lenovo	8500000.00	3	25500000.00	1981	Cut Zahra Sinaga	Gang Waringin No. 27\nProbolinggo, Sulawesi Utara 02426	+62 (614) 519-1537	2026-06-28	25500000.00	Product Sale
163	2026-06-27	1	Laptop Lenovo	8500000.00	3	25500000.00	1532	Fitria Saptono	Jalan Suniaraja No. 0\nTebingtinggi, Jawa Tengah 61025	086 522 5147	2026-06-27	25500000.00	Store Sale
175	2025-08-15	1	Laptop Lenovo	8500000.00	2	17000000.00	772	Saiful Mustofa	Jl. Kendalsari No. 935\nLubuklinggau, Sulawesi Selatan 68947	+62 (0979) 407 1255	2025-08-15	17000000.00	Store Sale
177	2026-05-14	1	Laptop Lenovo	8500000.00	10	85000000.00	379	Paulin Prasetya	Jalan HOS. Cokroaminoto No. 7\nSalatiga, Kepulauan Riau 23966	+62-543-427-1903	2026-05-14	85000000.00	Customer Purchase
178	2026-04-22	1	Laptop Lenovo	8500000.00	7	59500000.00	1632	Jamalia Waluyo	Gang Ahmad Yani No. 115\nKendari, BE 53657	(0751) 285 8763	2026-04-22	59500000.00	Online Transaction
179	2025-08-17	1	Laptop Lenovo	8500000.00	8	68000000.00	1957	Ika Narpati, M.Farm	Gang Kiaracondong No. 950\nCirebon, Maluku 63958	+62-99-913-7037	2025-08-17	68000000.00	Online Transaction
191	2025-09-28	1	Laptop Lenovo	8500000.00	10	85000000.00	449	Dt. Darmanto Waskita, S.Kom	Jalan Jend. Sudirman No. 371\nYogyakarta, Maluku Utara 97730	+62 (033) 703-0725	2025-09-28	85000000.00	Customer Purchase
193	2026-05-03	1	Laptop Lenovo	8500000.00	2	17000000.00	1315	Juli Halimah	Gang Moch. Toha No. 5\nSingkawang, PB 52856	+62-003-540-8436	2026-05-03	17000000.00	Customer Purchase
194	2026-05-07	1	Laptop Lenovo	8500000.00	5	42500000.00	30	Genta Prasasta	Gang Tubagus Ismail No. 1\nTasikmalaya, NT 03025	+62-30-468-2355	2026-05-07	42500000.00	Online Transaction
197	2026-07-02	1	Laptop Lenovo	8500000.00	1	8500000.00	694	Tina Yuniar	Jalan W.R. Supratman No. 7\nKediri, Kepulauan Riau 87093	+62-589-933-4686	2026-07-02	8500000.00	Product Sale
199	2025-12-24	1	Laptop Lenovo	8500000.00	2	17000000.00	909	Embuh Pradipta	Gg. Tebet Barat Dalam No. 731\nTangerang Selatan, RI 08764	+62 (897) 590 5010	2025-12-24	17000000.00	Online Transaction
205	2026-01-13	1	Laptop Lenovo	8500000.00	8	68000000.00	1942	Dt. Cengkal Napitupulu, S.Pd	Jl. Suryakencana No. 54\nMakassar, KI 56314	(037) 007-8697	2026-01-13	68000000.00	Customer Purchase
208	2025-12-14	1	Laptop Lenovo	8500000.00	2	17000000.00	415	Yani Dabukke, S.E.I	Gg. Indragiri No. 585\nLubuklinggau, Sulawesi Barat 53707	+62 (013) 696-6150	2025-12-14	17000000.00	Product Sale
211	2026-05-07	1	Laptop Lenovo	8500000.00	3	25500000.00	876	Aslijan Purnawati	Gang Jend. Sudirman No. 122\nBanjarmasin, Maluku Utara 29511	+62 (015) 868-2563	2026-05-07	25500000.00	Online Transaction
217	2025-11-24	1	Laptop Lenovo	8500000.00	6	51000000.00	1344	Prakosa Hakim	Jl. Sukabumi No. 38\nKota Administrasi Jakarta Pusat, Bali 02291	+62-81-095-0461	2025-11-24	51000000.00	Customer Purchase
240	2025-07-26	1	Laptop Lenovo	8500000.00	5	42500000.00	1661	Tgk. Estiawan Narpati, S.Kom	Gg. Cempaka No. 8\nTomohon, Sumatera Utara 77420	+62 (072) 134 3712	2025-07-26	42500000.00	Store Sale
244	2026-03-13	1	Laptop Lenovo	8500000.00	4	34000000.00	1812	T. Wasis Wastuti, S.H.	Gang Rumah Sakit No. 50\nYogyakarta, Nusa Tenggara Barat 86018	+62 (0474) 249 2700	2026-03-13	34000000.00	Product Sale
256	2026-04-26	1	Laptop Lenovo	8500000.00	5	42500000.00	229	Uli Laksmiwati	Jl. Laswi No. 399\nSemarang, Kalimantan Utara 84700	+62 (949) 074 2541	2026-04-26	42500000.00	Online Transaction
261	2025-08-31	1	Laptop Lenovo	8500000.00	6	51000000.00	1150	Mustika Waskita	Jl. KH Amin Jasuta No. 18\nSubulussalam, KT 57742	(004) 947 8311	2025-08-31	51000000.00	Product Sale
265	2026-06-02	1	Laptop Lenovo	8500000.00	9	76500000.00	66	Drs. Belinda Anggriawan	NULL	+62 (24) 915 1414	2026-06-02	76500000.00	Product Sale
268	2026-05-14	1	Laptop Lenovo	8500000.00	10	85000000.00	1060	Puspa Oktaviani	Gg. Rajawali Barat No. 4\nBukittinggi, Banten 67152	+62 (873) 421 9508	2026-05-14	85000000.00	Online Transaction
280	2026-01-17	1	Laptop Lenovo	8500000.00	5	42500000.00	991	Cinthia Utama	Jalan Raya Setiabudhi No. 0\nBima, Sumatera Utara 74210	084 199 1431	2026-01-17	42500000.00	Customer Purchase
282	2026-05-01	1	Laptop Lenovo	8500000.00	6	51000000.00	16	Drs. Indah Mardhiyah	NULL	+62 (0817) 726-0114	2026-05-01	51000000.00	Store Sale
286	2025-09-21	1	Laptop Lenovo	8500000.00	10	85000000.00	780	Kasiyah Wahyuni	Jalan Cihampelas No. 3\nYogyakarta, KS 19993	+62-36-806-9251	2025-09-21	85000000.00	Product Sale
295	2026-01-22	1	Laptop Lenovo	8500000.00	1	8500000.00	1615	Gada Lailasari	Jalan Monginsidi No. 75\nSubulussalam, Papua Barat 18409	+62 (27) 284-9378	2026-01-22	8500000.00	Product Sale
298	2026-01-04	1	Laptop Lenovo	8500000.00	5	42500000.00	1535	Kala Pradana	Gang Moch. Toha No. 4\nSingkawang, DI Yogyakarta 73345	+62 (28) 019 2323	2026-01-04	42500000.00	Customer Purchase
299	2025-12-04	1	Laptop Lenovo	8500000.00	8	68000000.00	1916	Tgk. Alika Sitompul, S.Sos	NULL	+62-919-451-1085	2025-12-04	68000000.00	Product Sale
301	2025-10-12	1	Laptop Lenovo	8500000.00	2	17000000.00	1049	Yuliana Oktaviani	Gg. PHH. Mustofa No. 07\nPekalongan, SS 35126	+62 (17) 557 9745	2025-10-12	17000000.00	Online Transaction
302	2026-02-14	1	Laptop Lenovo	8500000.00	7	59500000.00	1158	Bajragin Utama	Gang Bangka Raya No. 32\nSukabumi, LA 99944	(0074) 971-5142	2026-02-14	59500000.00	Online Transaction
303	2025-11-28	1	Laptop Lenovo	8500000.00	6	51000000.00	1717	Tgk. Salwa Puspita	Jalan Otto Iskandardinata No. 575\nBatu, GO 23831	+62 (0034) 579-2321	2025-11-28	51000000.00	Store Sale
306	2025-10-14	1	Laptop Lenovo	8500000.00	10	85000000.00	1543	Jail Napitupulu	Gg. BKR No. 9\nKupang, Sulawesi Selatan 99137	+62 (993) 794-6627	2025-10-14	85000000.00	Store Sale
307	2025-12-11	1	Laptop Lenovo	8500000.00	4	34000000.00	690	Darsirah Usada, S.Sos	Gg. K.H. Wahid Hasyim No. 4\nMeulaboh, SR 62337	+62 (062) 346 2914	2025-12-11	34000000.00	Online Transaction
308	2025-10-01	1	Laptop Lenovo	8500000.00	6	51000000.00	1093	R.M. Pandu Winarsih, S.H.	Gg. Siliwangi No. 1\nBalikpapan, Jawa Barat 95462	+62 (0079) 940-1539	2025-10-01	51000000.00	Customer Purchase
312	2026-03-08	1	Laptop Lenovo	8500000.00	2	17000000.00	1734	dr. Yusuf Situmorang	Jl. Sadang Serang No. 0\nJambi, Sulawesi Tengah 33092	+62 (49) 540 3840	2026-03-08	17000000.00	Online Transaction
315	2026-05-11	1	Laptop Lenovo	8500000.00	2	17000000.00	152	Usyi Kusmawati	Jl. Sukajadi No. 281\nSungai Penuh, SB 98899	(0304) 189-0698	2026-05-11	17000000.00	Product Sale
316	2026-04-22	1	Laptop Lenovo	8500000.00	4	34000000.00	1307	Kairav Putra	Jl. Ahmad Yani No. 531\nPagaralam, Sulawesi Tengah 27904	(040) 172 5121	2026-04-22	34000000.00	Store Sale
319	2026-01-07	1	Laptop Lenovo	8500000.00	7	59500000.00	487	Bagus Maryati	Jl. Antapani Lama No. 739\nMagelang, Papua Barat 58459	+62 (0595) 630-7086	2026-01-07	59500000.00	Online Transaction
320	2026-03-30	1	Laptop Lenovo	8500000.00	8	68000000.00	1858	Gilda Mansur	NULL	+62 (92) 573-6542	2026-03-30	68000000.00	Online Transaction
327	2026-01-20	1	Laptop Lenovo	8500000.00	1	8500000.00	1138	Kawaca Prasetya	Jl. HOS. Cokroaminoto No. 32\nPurwokerto, Maluku Utara 82249	+62 (0378) 309-4315	2026-01-20	8500000.00	Product Sale
328	2026-02-17	1	Laptop Lenovo	8500000.00	5	42500000.00	1743	Jasmin Pradana	Jalan S. Parman No. 38\nKupang, JI 40890	(0553) 138-9361	2026-02-17	42500000.00	Product Sale
346	2025-09-23	1	Laptop Lenovo	8500000.00	3	25500000.00	153	Zelda Tarihoran	Gang Kendalsari No. 0\nMagelang, Kalimantan Timur 31696	+62 (43) 925-1873	2025-09-23	25500000.00	Online Transaction
347	2025-10-18	1	Laptop Lenovo	8500000.00	2	17000000.00	263	Hafshah Novitasari	Jalan Kiaracondong No. 6\nCilegon, GO 56551	+62-0430-003-8856	2025-10-18	17000000.00	Store Sale
349	2026-05-29	1	Laptop Lenovo	8500000.00	1	8500000.00	1671	Nova Yuniar	Gg. Siliwangi No. 39\nBau-Bau, SG 02728	0895424515	2026-05-29	8500000.00	Product Sale
353	2025-10-02	1	Laptop Lenovo	8500000.00	7	59500000.00	264	Prabowo Winarno	Jalan Tebet Barat Dalam No. 093\nTangerang, JA 86102	+62 (673) 296-7391	2025-10-02	59500000.00	Online Transaction
355	2025-07-17	1	Laptop Lenovo	8500000.00	1	8500000.00	793	Ajiman Sitorus	Gang Moch. Toha No. 240\nDenpasar, BA 12088	+62-041-149-4811	2025-07-17	8500000.00	Store Sale
359	2025-10-06	1	Laptop Lenovo	8500000.00	6	51000000.00	1669	Devi Mangunsong	NULL	+62 (023) 934 3836	2025-10-06	51000000.00	Customer Purchase
374	2026-06-16	1	Laptop Lenovo	8500000.00	7	59500000.00	1040	Harsana Mardhiyah	Jl. Dipenogoro No. 132\nTangerang Selatan, KU 25513	+62-65-173-4873	2026-06-16	59500000.00	Store Sale
382	2026-06-04	1	Laptop Lenovo	8500000.00	4	34000000.00	1500	Prayogo Zulaika, S.Farm	Jalan Cikutra Barat No. 9\nTangerang Selatan, KR 08665	+62 (96) 140 6934	2026-06-04	34000000.00	Customer Purchase
387	2026-05-11	1	Laptop Lenovo	8500000.00	7	59500000.00	390	Icha Irawan	Jl. Ronggowarsito No. 6\nSibolga, Kalimantan Tengah 17563	084 295 7851	2026-05-11	59500000.00	Store Sale
389	2026-06-20	1	Laptop Lenovo	8500000.00	4	34000000.00	663	Hafshah Sitompul, S.E.	Gg. Kebonjati No. 935\nPangkalpinang, Kalimantan Timur 06073	+62 (021) 433 1812	2026-06-20	34000000.00	Store Sale
393	2026-01-29	1	Laptop Lenovo	8500000.00	8	68000000.00	1344	Prakosa Hakim	Jl. Sukabumi No. 38\nKota Administrasi Jakarta Pusat, Bali 02291	+62-81-095-0461	2026-01-29	68000000.00	Product Sale
395	2026-02-08	1	Laptop Lenovo	8500000.00	8	68000000.00	381	Soleh Padmasari	Gang Pelajar Pejuang No. 00\nDenpasar, BT 17587	+62-411-275-6733	2026-02-08	68000000.00	Online Transaction
396	2026-05-18	1	Laptop Lenovo	8500000.00	8	68000000.00	832	Prasetya Wibisono	Gg. Peta No. 135\nPontianak, PB 21464	(073) 607-4068	2026-05-18	68000000.00	Customer Purchase
399	2025-12-19	1	Laptop Lenovo	8500000.00	3	25500000.00	747	Warsa Winarsih	Jl. BKR No. 52\nJayapura, PB 25286	(001) 238-8711	2025-12-19	25500000.00	Product Sale
407	2025-10-03	1	Laptop Lenovo	8500000.00	9	76500000.00	763	Patricia Tampubolon	Gg. Medokan Ayu No. 34\nPangkalpinang, SN 29231	(006) 783 7630	2025-10-03	76500000.00	Customer Purchase
408	2026-05-14	1	Laptop Lenovo	8500000.00	1	8500000.00	1279	Tgk. Fathonah Nurdiyanti, S.IP	Gg. W.R. Supratman No. 9\nPematangsiantar, Sulawesi Tenggara 69097	+62-53-849-2346	2026-05-14	8500000.00	Online Transaction
412	2025-09-23	1	Laptop Lenovo	8500000.00	10	85000000.00	1245	Drs. Qori Zulkarnain	Jalan Rungkut Industri No. 5\nDenpasar, Jambi 83943	+62-82-592-3041	2025-09-23	85000000.00	Product Sale
414	2026-02-03	1	Laptop Lenovo	8500000.00	1	8500000.00	1896	Sabar Usada	Gg. Rungkut Industri No. 28\nBatu, Sumatera Barat 28974	+62 (088) 785 2516	2026-02-03	8500000.00	Customer Purchase
417	2025-12-07	1	Laptop Lenovo	8500000.00	9	76500000.00	921	Paramita Hardiansyah	Gg. HOS. Cokroaminoto No. 998\nLubuklinggau, Papua 53855	+62 (548) 722-7000	2025-12-07	76500000.00	Online Transaction
423	2025-08-19	1	Laptop Lenovo	8500000.00	7	59500000.00	1900	Daryani Pertiwi	Gang PHH. Mustofa No. 42\nPagaralam, NB 49272	(0014) 593-4034	2025-08-19	59500000.00	Customer Purchase
425	2025-09-15	1	Laptop Lenovo	8500000.00	7	59500000.00	140	Saiful Hidayat	Gang Dipatiukur No. 185\nSurakarta, AC 96418	+62-87-430-1477	2025-09-15	59500000.00	Online Transaction
429	2025-10-04	1	Laptop Lenovo	8500000.00	6	51000000.00	1859	Salsabila Hidayanto	Gg. Waringin No. 57\nMetro, Sulawesi Utara 74468	+62 (0937) 388-7404	2025-10-04	51000000.00	Online Transaction
432	2026-01-19	1	Laptop Lenovo	8500000.00	3	25500000.00	926	Shania Simanjuntak	NULL	084 236 0553	2026-01-19	25500000.00	Online Transaction
436	2025-08-02	1	Laptop Lenovo	8500000.00	5	42500000.00	1017	Galih Zulkarnain, S.Sos	Jalan Bangka Raya No. 907\nSorong, AC 24262	+62 (0595) 605-3970	2025-08-02	42500000.00	Customer Purchase
439	2026-06-16	1	Laptop Lenovo	8500000.00	10	85000000.00	1924	Drs. Adinata Hutasoit	Jalan Peta No. 96\nMojokerto, Kalimantan Tengah 89525	+62 (38) 154 3646	2026-06-16	85000000.00	Customer Purchase
440	2026-01-04	1	Laptop Lenovo	8500000.00	2	17000000.00	1497	Rahayu Narpati, M.Ak	Jalan Lembong No. 6\nTangerang, Jawa Timur 98477	+62 (61) 048 2008	2026-01-04	17000000.00	Store Sale
441	2026-05-07	1	Laptop Lenovo	8500000.00	6	51000000.00	362	Irma Wacana, M.TI.	Jalan Rajawali Timur No. 2\nPekanbaru, Sumatera Barat 13159	(019) 801 1979	2026-05-07	51000000.00	Customer Purchase
443	2026-04-08	1	Laptop Lenovo	8500000.00	3	25500000.00	1456	Rangga Purnawati	Gg. Medokan Ayu No. 55\nBima, Sumatera Selatan 72111	+62-73-185-0690	2026-04-08	25500000.00	Product Sale
446	2026-01-01	1	Laptop Lenovo	8500000.00	1	8500000.00	286	Wirda Purnawati	Jl. Antapani Lama No. 2\nMakassar, SU 85773	0831059830	2026-01-01	8500000.00	Online Transaction
449	2026-01-20	1	Laptop Lenovo	8500000.00	8	68000000.00	1239	Bakiadi Iswahyudi	Jalan Pasirkoja No. 025\nPariaman, KB 09172	086 445 9864	2026-01-20	68000000.00	Product Sale
453	2025-10-25	1	Laptop Lenovo	8500000.00	5	42500000.00	539	Ridwan Usamah	Gang Rajawali Timur No. 66\nPagaralam, JI 79828	+62 (031) 879 4994	2025-10-25	42500000.00	Online Transaction
456	2025-07-22	1	Laptop Lenovo	8500000.00	4	34000000.00	121	dr. Dewi Purwanti	Jalan HOS. Cokroaminoto No. 44\nBanjarmasin, Kalimantan Timur 14048	(0661) 916-5988	2025-07-22	34000000.00	Online Transaction
464	2025-11-06	1	Laptop Lenovo	8500000.00	8	68000000.00	562	Purwanto Utama	Gang Tebet Barat Dalam No. 953\nTasikmalaya, Sumatera Utara 09970	+62 (0110) 858-2500	2025-11-06	68000000.00	Customer Purchase
466	2026-05-25	1	Laptop Lenovo	8500000.00	5	42500000.00	556	Puti Irawan	Gg. Indragiri No. 682\nSolok, JT 15932	+62 (0706) 115 0519	2026-05-25	42500000.00	Customer Purchase
470	2025-10-21	1	Laptop Lenovo	8500000.00	8	68000000.00	656	Tgk. Jagapati Pranowo	Gang Rawamangun No. 87\nPalu, GO 03885	+62 (0190) 309-3295	2025-10-21	68000000.00	Online Transaction
471	2025-11-12	1	Laptop Lenovo	8500000.00	5	42500000.00	173	Sutan Prabu Prayoga	Jl. K.H. Wahid Hasyim No. 56\nMalang, Lampung 01824	(028) 962-5474	2025-11-12	42500000.00	Online Transaction
472	2026-06-07	1	Laptop Lenovo	8500000.00	9	76500000.00	1968	Perkasa Setiawan	Gang Cikutra Barat No. 122\nPrabumulih, Bali 26258	+62 (713) 077-1380	2026-06-07	76500000.00	Store Sale
479	2026-05-24	1	Laptop Lenovo	8500000.00	10	85000000.00	1494	Dian Tarihoran, M.Kom.	Gang Raya Ujungberung No. 7\nPasuruan, Jawa Barat 13429	(0942) 267-2828	2026-05-24	85000000.00	Product Sale
481	2025-11-16	1	Laptop Lenovo	8500000.00	5	42500000.00	1762	R. Leo Novitasari	Gang Surapati No. 96\nBau-Bau, GO 84667	+62 (005) 520 1608	2025-11-16	42500000.00	Product Sale
484	2026-04-24	1	Laptop Lenovo	8500000.00	7	59500000.00	1060	Puspa Oktaviani	Gg. Rajawali Barat No. 4\nBukittinggi, Banten 67152	+62 (873) 421 9508	2026-04-24	59500000.00	Online Transaction
486	2026-01-04	1	Laptop Lenovo	8500000.00	4	34000000.00	1068	Drs. Paramita Sitompul, S.Sos	Gang Raya Setiabudhi No. 955\nTanjungpinang, Aceh 72881	(0242) 616 9182	2026-01-04	34000000.00	Customer Purchase
493	2025-11-22	1	Laptop Lenovo	8500000.00	6	51000000.00	1990	Yulia Pradipta	Jl. Veteran No. 94\nJambi, JA 84532	(097) 027-8262	2025-11-22	51000000.00	Online Transaction
494	2025-12-08	1	Laptop Lenovo	8500000.00	1	8500000.00	161	Mahfud Tamba, M.TI.	Jl. Sadang Serang No. 2\nPrabumulih, MU 77421	0825493694	2025-12-08	8500000.00	Customer Purchase
506	2026-05-10	1	Laptop Lenovo	8500000.00	10	85000000.00	544	Hj. Rahmi Gunawan, S.E.I	Gg. M.H Thamrin No. 219\nKendari, BT 50002	+62 (968) 214-3067	2026-05-10	85000000.00	Product Sale
509	2025-10-28	1	Laptop Lenovo	8500000.00	4	34000000.00	105	Paulin Susanti	Jalan K.H. Wahid Hasyim No. 7\nTernate, BT 78667	+62 (67) 882 9594	2025-10-28	34000000.00	Customer Purchase
512	2026-02-10	1	Laptop Lenovo	8500000.00	2	17000000.00	562	Purwanto Utama	Gang Tebet Barat Dalam No. 953\nTasikmalaya, Sumatera Utara 09970	+62 (0110) 858-2500	2026-02-10	17000000.00	Customer Purchase
522	2025-09-30	1	Laptop Lenovo	8500000.00	10	85000000.00	101	R.A. Kamaria Permadi, M.Farm	Jl. Laswi No. 4\nTanjungpinang, LA 66348	(098) 624 3148	2025-09-30	85000000.00	Customer Purchase
534	2025-08-16	1	Laptop Lenovo	8500000.00	4	34000000.00	642	Puti Lili Sinaga	Jalan Gardujati No. 205\nCilegon, Sumatera Selatan 27595	(0198) 057-9024	2025-08-16	34000000.00	Customer Purchase
540	2026-05-18	1	Laptop Lenovo	8500000.00	8	68000000.00	213	Elisa Mahendra	Jl. Cihampelas No. 79\nSabang, Sulawesi Selatan 34062	+62 (0350) 473-8488	2026-05-18	68000000.00	Store Sale
546	2025-11-10	1	Laptop Lenovo	8500000.00	3	25500000.00	86	Ir. Baktiadi Siregar, S.Sos	Gg. Cihampelas No. 6\nCilegon, AC 32752	+62 (014) 100 1890	2025-11-10	25500000.00	Store Sale
547	2025-12-30	1	Laptop Lenovo	8500000.00	3	25500000.00	80	Rachel Wahyuni	Jalan Medokan Ayu No. 152\nKota Administrasi Jakarta Selatan, BE 05053	+62-87-085-9912	2025-12-30	25500000.00	Store Sale
549	2026-04-29	1	Laptop Lenovo	8500000.00	1	8500000.00	1093	R.M. Pandu Winarsih, S.H.	Gg. Siliwangi No. 1\nBalikpapan, Jawa Barat 95462	+62 (0079) 940-1539	2026-04-29	8500000.00	Online Transaction
551	2026-05-19	1	Laptop Lenovo	8500000.00	5	42500000.00	725	Harja Narpati	Jl. Wonoayu No. 0\nBekasi, Nusa Tenggara Timur 98636	+62-0113-355-8191	2026-05-19	42500000.00	Online Transaction
552	2026-05-15	1	Laptop Lenovo	8500000.00	1	8500000.00	543	Jail Napitupulu	Gg. BKR No. 9\nKupang, Sulawesi Selatan 99137	+62 (993) 794-6627	2026-05-15	8500000.00	Product Sale
